ACC 101 INTRODUCTION TO ACCOUNTING I
"Introduction to Accounting I provides an introduction to financial accounting as the means of recording, storing and summarizing economic events of the business enterprise to meet external reporting needs. Emphasis is placed on the preparation and analysis of financial statements and other financial reports to the public based on the accounting equation, accrual accounting concepts, and data gathering techniques. Topics include corporate accounting for current and long term assets and current liabilities, and the corporate income statement.  ACC 100 is a mandatory lab component of ACC 101, except for Summer and Accountancy Honors sections."
Overall Rating,Class Status,Credit Hours,Teacher First Name,Teacher Last Name,Class Start Time,Class End Time,Class Section,Class Number,Location,Days
3.8,Open,4,Cary,Flynn,8:30 AM,10:00 AM,501,24766,Loop Campus,"Monday, Wednesday"
3.8,Open,4,Cary,Flynn,10:10 AM,11:40 AM,502,24767,Loop Campus,"Monday, Wednesday"
4.4,Closed,4,Joanna,Dabrowska,11:50 AM,1:20 PM,503,24768,Loop Campus,"Tuesday, Thursday"
4.4,Closed,4,Joanna,Dabrowska,10:10 AM,11:40 AM,504,24769,Loop Campus,"Tuesday, Thursday"
4.6,Closed,4,Wendy,Heltzer,10:10 AM,11:40 AM,505,24770,Loop Campus,"Monday, Wednesday"
4.6,Closed,4,Wendy,Heltzer,11:50 AM,1:20 PM,506,24771,Loop Campus,"Monday, Wednesday"
4.4,Closed,4,Joanna,Dabrowska,3:10 PM,4:40 PM,507,24772,Loop Campus,"Tuesday, Thursday"
4.2,Open,4,Willie,Reddic,1:30 PM,3:00 PM,508,24773,Loop Campus,"Tuesday, Thursday"
4.6,Closed,4,Wendy,Heltzer,1:30 PM,3:00 PM,509,24774,Loop Campus,"Monday, Wednesday"
4.2,Open,4,Willie,Reddic,3:10 PM,4:40 PM,510,24775,Loop Campus,"Tuesday, Thursday"
N/A,Open,4,Michael,Carroll,5:45 PM,9:00 PM,801,24776,Loop Campus,Monday
