APP 400 PERCUSSION
"Advanced individual instruction in percussion performance at the graduate level. Graduate music students are limited to 4 credits of applied lessons in any given quarter, and may not exceed a total of 24 credits of applied lessons over their entire course of study."
RMP Overall,Class Status,Credit Hours,Teacher First Name,Teacher Last Name,Class Start Time,Class End Time,Class Section,Class Number,Location,Days
N/A,Open,2,Marc,Damoulakis,12:00 AM,12:00 AM,201,21767,Lincoln Park Campus,
N/A,Open,2,Marc,Damoulakis,12:00 AM,12:00 AM,202,21768,Lincoln Park Campus,
4.67,Open,2,Michael,Green,12:00 AM,12:00 AM,203,21769,Lincoln Park Campus,
4.67,Open,2,Michael,Green,12:00 AM,12:00 AM,204,21770,Lincoln Park Campus,
N/A,Open,2,Michael,Kozakis,12:00 AM,12:00 AM,205,21771,Lincoln Park Campus,
N/A,Open,2,Michael,Kozakis,12:00 AM,12:00 AM,206,21772,Lincoln Park Campus,
N/A,Open,2,Eric,Millstein,12:00 AM,12:00 AM,207,21773,Lincoln Park Campus,
N/A,Open,2,Eric,Millstein,12:00 AM,12:00 AM,208,21774,Lincoln Park Campus,
N/A,Open,2,Albert,Payson,12:00 AM,12:00 AM,209,21775,Lincoln Park Campus,
N/A,Open,2,Albert,Payson,12:00 AM,12:00 AM,210,21776,Lincoln Park Campus,
N/A,Open,2,David,Herbert,12:00 AM,12:00 AM,211,22176,Lincoln Park Campus,
N/A,Open,2,David,Herbert,12:00 AM,12:00 AM,212,22177,Lincoln Park Campus,
N/A,Open,2,Ian,Ding,12:00 AM,12:00 AM,213,22178,Lincoln Park Campus,
N/A,Open,2,Ian,Ding,12:00 AM,12:00 AM,214,22179,Lincoln Park Campus,
