APV 100 VOICE-STUDIO
"Advanced individual instruction in voice performance at the undergraduate level. Undergraduate music students are limited to 4 credits of applied lessons in any given quarter, and may not exceed a total of 48 credits of applied lessons over their entire course of study."
Overall Rating,Class Status,Credit Hours,Teacher First Name,Teacher Last Name,Class Start Time,Class End Time,Class Section,Class Number,Location,Days
N/A,Open,2,Jo,Rodenburg,12:00 AM,12:00 AM,201,21813,Lincoln Park Campus,
N/A,Open,2,Jo,Rodenburg,12:00 AM,12:00 AM,202,21814,Lincoln Park Campus,
N/A,Open,2,Elizabeth,Byrne Asher,12:00 AM,12:00 AM,203,21815,Lincoln Park Campus,
N/A,Open,2,Elizabeth,Byrne Asher,12:00 AM,12:00 AM,204,21816,Lincoln Park Campus,
N/A,Open,2,Jeffrey,Ray,12:00 AM,12:00 AM,205,21817,Lincoln Park Campus,
N/A,Open,2,Jeffrey,Ray,12:00 AM,12:00 AM,206,21818,Lincoln Park Campus,
N/A,Open,2,Michael,Sylvester,12:00 AM,12:00 AM,207,22007,Lincoln Park Campus,
N/A,Open,2,Michael,Sylvester,12:00 AM,12:00 AM,208,22008,Lincoln Park Campus,
N/A,Open,2,Julia,Faulkner,12:00 AM,12:00 AM,209,25999,Lincoln Park Campus,
N/A,Open,2,Julia,Faulkner,12:00 AM,12:00 AM,210,26000,Lincoln Park Campus,
N/A,Open,2,David,Alt,12:00 AM,12:00 AM,211,26001,Lincoln Park Campus,
N/A,Open,2,David,Alt,12:00 AM,12:00 AM,212,26002,Lincoln Park Campus,
