APV 400 VOICE-STUDIO
"Advanced individual instruction in voice performance at the graduate level. Graduate music students are limited to 4 credits of applied lessons in any given quarter, and may not exceed a total of 24 credits of applied lessons over their entire course of study."
Overall Rating,Class Status,Credit Hours,Class Number,Teacher First Name,Teacher Last Name,Class Start Time,Class End Time,Class Section,Class Number,Location,Days
N/A,Open,2,21819,Jo,Rodenburg,12:00 AM,12:00 AM,201,21819,Lincoln Park Campus,
N/A,Open,2,21820,Jo,Rodenburg,12:00 AM,12:00 AM,202,21820,Lincoln Park Campus,
N/A,Open,2,21821,Elizabeth,Byrne Asher,12:00 AM,12:00 AM,203,21821,Lincoln Park Campus,
N/A,Open,2,21822,Elizabeth,Byrne Asher,12:00 AM,12:00 AM,204,21822,Lincoln Park Campus,
N/A,Open,2,21823,Jeffrey,Ray,12:00 AM,12:00 AM,205,21823,Lincoln Park Campus,
N/A,Open,2,21824,Jeffrey,Ray,12:00 AM,12:00 AM,206,21824,Lincoln Park Campus,
N/A,Open,2,22009,Michael,Sylvester,12:00 AM,12:00 AM,207,22009,Lincoln Park Campus,
N/A,Open,2,22010,Michael,Sylvester,12:00 AM,12:00 AM,208,22010,Lincoln Park Campus,
N/A,Open,2,26003,Julia,Faulkner,12:00 AM,12:00 AM,209,26003,Lincoln Park Campus,
N/A,Open,2,26004,Julia,Faulkner,12:00 AM,12:00 AM,210,26004,Lincoln Park Campus,
N/A,Open,2,26005,David,Alt,12:00 AM,12:00 AM,211,26005,Lincoln Park Campus,
N/A,Open,2,26006,David,Alt,12:00 AM,12:00 AM,212,26006,Lincoln Park Campus,
