BIO 191 GENERAL BIOLOGY I FOR SCIENCE MAJORS
"Focuses on the unity of life: its biochemical and cellular makeup and functions, the acquisition and utilization of energy, and the storage and utilization of genetic information. Lecture-laboratory. CHE 130 and CHE 131 are recommended as corequisites."
Overall Rating,Class Status,Credit Hours,Teacher First Name,Teacher Last Name,Class Start Time,Class End Time,Class Section,Class Number,Location,Days
3.8,Closed,4,Stanley,Cohn,11:20 AM,12:20 PM,1D1,22240,Lincoln Park Campus,Friday
4.57,Closed,4,Eric,Norstrom,11:20 AM,12:20 PM,1D1,22240,Lincoln Park Campus,Friday
4.57,Closed,4,Eric,Norstrom,9:40 AM,12:40 PM,1L1,22241,Lincoln Park Campus,Tuesday
N/A,Closed,4,Claire,Behrens,9:40 AM,12:40 PM,1L1,22241,Lincoln Park Campus,Tuesday
N/A,Closed,4,Claire,Behrens,2:40 PM,5:40 PM,1L2,22242,Lincoln Park Campus,Tuesday
3.8,Closed,4,Stanley,Cohn,2:40 PM,5:40 PM,1L2,22242,Lincoln Park Campus,Tuesday
N/A,Closed,4,Claire,Behrens,2:40 PM,5:40 PM,1L3,22244,Lincoln Park Campus,Wednesday
3.8,Closed,4,Stanley,Cohn,2:40 PM,5:40 PM,1L3,22244,Lincoln Park Campus,Wednesday
N/A,Closed,4,Claire,Behrens,2:40 PM,5:40 PM,1L4,22245,Lincoln Park Campus,Thursday
3.8,Closed,4,Stanley,Cohn,2:40 PM,5:40 PM,1L4,22245,Lincoln Park Campus,Thursday
4.57,Closed,4,Eric,Norstrom,11:20 AM,12:50 PM,201,22239,Lincoln Park Campus,"Monday, Wednesday"
3.8,Closed,4,Stanley,Cohn,11:20 AM,12:50 PM,201,22239,Lincoln Park Campus,"Monday, Wednesday"
