CSC 242 INTRODUCTION TO COMPUTER SCIENCE II
"An intermediate course in problem solving, algorithms and programming. Programming skills are further strengthened through more complex and larger programming assignments. The assignments will also be used to introduce different Computer Science areas (e.g. a Client/Server application for the Distributed Systems area). Classes and object oriented programming are motivated and introduced. PREREQUISITE(S): CSC241"
RMP Overall,Credit Hours,Teacher First Name,Teacher Last Name,Class Start Time,Class End Time,Class Section,Class Number,Location,Days
4.9,4,Eric,Sedgwick,10:10 AM,11:40 AM,501,22340,Loop Campus,"Tuesday,Thursday"
4.9,4,Eric,Sedgwick,11:50 AM,1:20 PM,501L,26555,Loop Campus,Wednesday
4.9,4,Eric,Sedgwick,11:50 AM,1:20 PM,502,22341,Loop Campus,"Tuesday,Thursday"
4.9,4,Eric,Sedgwick,3:10 PM,4:40 PM,502L,26556,Loop Campus,Wednesday
N/A,4,Tanya,Settle,1:30 PM,3:00 PM,503,22342,Loop Campus,"Monday,Wednesday"
N/A,4,Tanya,Settle,3:10 PM,4:40 PM,503L,26557,Loop Campus,Monday
3.8,4,Steven,Lytinen,3:10 PM,4:40 PM,504,26553,Loop Campus,"Monday,Wednesday"
3.8,4,Steven,Lytinen,11:50 AM,1:20 PM,504L,26558,Loop Campus,Wednesday
N/A,4,Brian,O'Donnell,5:45 PM,9:00 PM,801,23008,Loop Campus,Tuesday
N/A,4,Brian,O'Donnell,5:00 PM,6:30 PM,801L,26559,Loop Campus,Thursday
