DC 100 INTRODUCTION TO CINEMA: THE ART OF MAKING MOVIES
"This lecture-based course will introduce students to the art of cinema, from the point of view of the filmmaker. Through screenings of contemporary and classic films, students will gain an appreciation of the various crafts involved in the making of movies, such as: acting, directing, producing, screenwriting, cinematography, production design, editing, sound, or visual effects. This course is not intended for students who intend to major or minor in Digital Cinema.  PREREQUISITE(S): None"
Overall Rating,Class Status,Credit Hours,Class Number,Teacher First Name,Teacher Last Name,Class Start Time,Class End Time,Class Section,Class Number,Location,Days
4.8,Open,4,26627,Craig,Erpelding,1:00 PM,4:15 PM,201,26627,Lincoln Park Campus,Thursday
N/A,Open,4,26761,Kevin,Endres,1:00 PM,4:15 PM,202,26761,Lincoln Park Campus,Wednesday
4.8,Closed,4,26629,Craig,Erpelding,,,210,26629,OnLine,
N/A,Open,4,26762,Kevin,Endres,,,211,26762,OnLine,
4.8,Open,4,26630,Eric,Marsh,10:00 AM,1:15 PM,501,26630,Loop Campus,Monday
4.7,Closed,4,26888,Gary,Novak,12:45 PM,4:45 PM,502,26888,Loop Campus,"Monday, Tuesday, Wednesday, Thursday"
4.8,Closed,4,26631,Eric,Marsh,,,510,26631,OnLine,
4.7,Closed,4,26898,Gary,Novak,,,511,26898,OnLine,
N/A,Open,4,26763,Kevin,Endres,5:45 PM,9:00 PM,801,26763,Loop Campus,Wednesday
N/A,Open,4,26764,Kevin,Endres,,,810,26764,OnLine,
