DC 201 INTRODUCTION TO SCREENWRITING
"This course is an introduction to and overview of the elements of theme, plot, character, and dialogue in dramatic writing for cinema.  Emphasis is placed on telling a story in terms of action and the reality of characters.  The difference between the literary and visual medium is explored through individual writing projects and group analysis.  Development of synopsis and treatment for a short theatrical screen play: theme, plot, character, mise-en-scene and utilization of cinematic elements.  PREREQUISITE(S): None."
Overall Rating,Class Status,Credit Hours,Teacher First Name,Teacher Last Name,Class Start Time,Class End Time,Class Section,Class Number,Location,Days
5.0,Open,4,Lorraine,Darrow,9:40 AM,11:10 AM,201,22588,Lincoln Park Campus,"Tuesday, Thursday"
5.0,Open,4,Lorraine,Darrow,11:20 AM,12:50 PM,202,22589,Lincoln Park Campus,"Tuesday, Thursday"
4.33,Open,4,Alaric,Rocha,9:40 AM,11:10 AM,203,22590,Lincoln Park Campus,"Monday, Wednesday"
3.5,Open,4,Lee,Madsen,11:20 AM,12:50 PM,204,22737,Lincoln Park Campus,"Monday, Wednesday"
5.0,Open,4,Lorraine,Darrow,,,210,22591,OnLine,
4.33,Open,4,Alaric,Rocha,,,211,22738,OnLine,
4.8,Open,4,Joshua,Russell,1:30 PM,3:00 PM,501,22592,Loop Campus,"Monday, Wednesday"
3.7,Open,4,James,Syrek,3:10 PM,4:40 PM,502,26609,Loop Campus,"Monday, Wednesday"
N/A,Open,4,Steven,Zacharias,6:00 PM,9:15 PM,801,22593,Lincoln Park Campus,Wednesday
N/A,Open,4,Steven,Zacharias,,,810,22594,OnLine,
