DCM 306 PRODUCTIVE APPLICATIONS OF WORK BASED INFORMATION TECHNOLOGY
"In this course, students will learn about work-based information technology by exploring Windows PC and Mac operating systems. Students will be introduced to common work-based applications software in MS Office: Word, Excel, Power Point, Access and Outlook.  Students will learn the basics, intermediate, and advanced level of MS Word, Excel, and Power Point.  Students will explore the use and security of Internet applications for both Windows and Mac operating systems."
Overall Rating,Class Status,Credit Hours,Class Number,Teacher First Name,Teacher Last Name,Class Start Time,Class End Time,Class Section,Class Number,Location,Days
2.38,Open,2,23717,Zoaib,Mirza,5:45 PM,9:00 PM,801,23717,Loop Campus,Tuesday
N/A,Open,2,23717,Staff,Staff,5:45 PM,9:00 PM,801,23717,Loop Campus,Tuesday
N/A,Open,2,23717,Staff,Staff,5:45 PM,9:00 PM,801,23717,Loop Campus,Tuesday
N/A,Open,2,23717,Staff,Staff,5:45 PM,9:00 PM,801,23717,Loop Campus,Friday
N/A,Open,2,23717,Staff,Staff,5:45 PM,9:00 PM,801,23717,Loop Campus,Tuesday
N/A,Open,2,23717,Staff,Staff,5:45 PM,9:00 PM,801,23717,Loop Campus,Tuesday
2.38,Open,2,23718,Zoaib,Mirza,5:45 PM,9:00 PM,802,23718,Loop Campus,Tuesday
N/A,Open,2,23718,Staff,Staff,5:45 PM,9:00 PM,802,23718,Loop Campus,Tuesday
N/A,Open,2,23718,Staff,Staff,5:45 PM,9:00 PM,802,23718,Loop Campus,Tuesday
N/A,Open,2,23718,Staff,Staff,5:45 PM,9:00 PM,802,23718,Loop Campus,Friday
N/A,Open,2,23718,Staff,Staff,5:45 PM,9:00 PM,802,23718,Loop Campus,Tuesday
N/A,Open,2,23718,Staff,Staff,5:45 PM,9:00 PM,802,23718,Loop Campus,Tuesday
2.38,Open,2,23719,Zoaib,Mirza,5:45 PM,9:00 PM,803,23719,Loop Campus,Tuesday
N/A,Open,2,23719,Staff,Staff,5:45 PM,9:00 PM,803,23719,Loop Campus,Tuesday
N/A,Open,2,23719,Staff,Staff,5:45 PM,9:00 PM,803,23719,Loop Campus,Tuesday
N/A,Open,2,23719,Staff,Staff,5:45 PM,9:00 PM,803,23719,Loop Campus,Friday
N/A,Open,2,23719,Staff,Staff,5:45 PM,9:00 PM,803,23719,Loop Campus,Tuesday
N/A,Open,2,23719,Staff,Staff,5:45 PM,9:00 PM,803,23719,Loop Campus,Tuesday
2.38,Open,2,23720,Zoaib,Mirza,5:45 PM,9:00 PM,804,23720,Loop Campus,Tuesday
N/A,Open,2,23720,Staff,Staff,5:45 PM,9:00 PM,804,23720,Loop Campus,Tuesday
N/A,Open,2,23720,Staff,Staff,5:45 PM,9:00 PM,804,23720,Loop Campus,Tuesday
N/A,Open,2,23720,Staff,Staff,5:45 PM,9:00 PM,804,23720,Loop Campus,Friday
N/A,Open,2,23720,Staff,Staff,5:45 PM,9:00 PM,804,23720,Loop Campus,Tuesday
N/A,Open,2,23720,Staff,Staff,5:45 PM,9:00 PM,804,23720,Loop Campus,Tuesday
