ECO 105 PRINCIPLES OF MICROECONOMICS
"Principles of Microeconomics. Basic theories of micro (or individual) economic units; the theory of consumer demand, the firm, and distribution; pricing and production in competitive, monopolistic and oligopolistic industries."
RMP Overall,Class Status,Credit Hours,Teacher First Name,Teacher Last Name,Class Start Time,Class End Time,Class Section,Class Number,Location,Days
N/A,Open,4,Staff,Staff,11:20 AM,12:50 PM,201,25021,Lincoln Park Campus,"Tuesday,Thursday"
N/A,Open,4,Staff,Staff,1:00 PM,2:30 PM,202,25022,Lincoln Park Campus,"Tuesday,Thursday"
3.9,Open,4,Gabriella,Bucci,8:30 AM,10:00 AM,501,25023,Loop Campus,"Tuesday,Thursday"
3.5,Open,4,Anthony,Krautmann,10:10 AM,11:40 AM,502,25024,Loop Campus,"Monday,Wednesday"
3.5,Open,4,Anthony,Krautmann,11:50 AM,1:20 PM,503,25025,Loop Campus,"Monday,Wednesday"
N/A,Open,4,Burhan,Biner,1:30 PM,3:00 PM,504,25026,Loop Campus,"Monday,Wednesday"
N/A,Closed,4,Mohammad,Mirhosseini,11:50 AM,1:20 PM,505,25027,Loop Campus,"Tuesday,Thursday"
N/A,Open,4,Mohammad,Mirhosseini,1:30 PM,3:00 PM,506,25028,Loop Campus,"Tuesday,Thursday"
N/A,Open,4,Burhan,Biner,3:10 PM,4:40 PM,507,25029,Loop Campus,"Monday,Wednesday"
N/A,Open,4,Burhan,Biner,5:45 PM,9:00 PM,801,25031,Loop Campus,Wednesday
