ECO 106 PRINCIPLES OF MACROECONOMICS
"Principles of Macroeconomics. Fundamental theories of macro (or aggregate) economics: supply and demand, national income accounting and analysis, and international trade. Analysis of unemployment, and inflation, and policies designed to combat these and other current problems."
Overall Rating,Class Status,Credit Hours,Teacher First Name,Teacher Last Name,Class Start Time,Class End Time,Class Section,Class Number,Location,Days
3.1,Closed,4,Liliana,Fargo,11:20 AM,12:50 PM,201,25032,Lincoln Park Campus,"Monday, Wednesday"
3.1,Closed,4,Liliana,Fargo,1:00 PM,2:30 PM,202,25033,Lincoln Park Campus,"Monday, Wednesday"
3.4,Closed,4,Antonio,Morales-Pita,10:10 AM,11:40 AM,501,25034,Loop Campus,"Monday, Wednesday"
N/A,Closed,4,Staff,Staff,11:50 AM,1:20 PM,502,25035,Loop Campus,"Monday, Wednesday"
2.95,Open,4,Sebastien,Mary,9:00 AM,12:15 PM,503,25036,Loop Campus,Tuesday
3.8,Closed,4,John,Berdell,11:50 AM,1:20 PM,504,25037,Loop Campus,"Tuesday, Thursday"
4.2,Open,4,Brian,Thompson,9:00 AM,12:15 PM,505,25038,Loop Campus,Thursday
3.8,Open,4,John,Berdell,3:10 PM,4:40 PM,506,25039,Loop Campus,"Tuesday, Thursday"
N/A,Open,4,Staff,Staff,3:10 PM,4:40 PM,507,26865,Loop Campus,"Monday, Wednesday"
N/A,Open,4,Staff,Staff,5:45 PM,9:00 PM,801,25040,Loop Campus,Tuesday
