ICS 392 SENIOR SEMINAR
"A variety of senior capstone seminars are offered every term. These seminars focus on specific content areas reflecting a wide range of non-business issues that are relevant to business in contemporary society.  The learning experience enables students to see the world differently through reflections and interactions, encourages them to develop a broader perspective on how and where business fits in society, and prepares them to communicate and express that perspective orally and in writing."
RMP Overall,Class Status,Credit Hours,Teacher First Name,Teacher Last Name,Class Start Time,Class End Time,Class Section,Class Number,Location,Days
3.9,Closed,4,John,Hildebrand,1:30 PM,4:45 PM,502,24759,Loop Campus,Monday
3.9,Closed,4,John,Hildebrand,1:30 PM,4:45 PM,503,24760,Loop Campus,Wednesday
N/A,Open,4,David,Roberts,9:00 AM,4:30 PM,504,24761,Loop Campus,Saturday
4.1,Closed,4,Randall,Arakawa,11:50 AM,1:20 PM,505,25193,Loop Campus,"Tuesday,Thursday"
4.22,Closed,4,Thomas,Berry,9:00 AM,4:00 PM,507,24963,Loop Campus,Monday
4.22,Closed,4,Thomas,Berry,9:00 AM,4:00 PM,507,24963,Loop Campus,Tuesday
4.22,Closed,4,Thomas,Berry,9:00 AM,4:00 PM,507,24963,Loop Campus,Thursday
4.22,Closed,4,Thomas,Berry,9:00 AM,4:00 PM,507,24963,Loop Campus,Friday
4.22,Closed,4,Thomas,Berry,9:00 AM,4:00 PM,507,24963,Loop Campus,Monday
4.22,Closed,4,Thomas,Berry,9:00 AM,4:00 PM,507,24963,Loop Campus,Tuesday
4.1,Closed,4,Randall,Arakawa,10:10 AM,11:40 AM,510,24984,Loop Campus,"Tuesday,Thursday"
4.22,Closed,4,Thomas,Berry,9:00 AM,4:00 PM,511,25189,Loop Campus,Thursday
4.22,Closed,4,Thomas,Berry,9:00 AM,4:00 PM,511,25189,Loop Campus,Friday
4.22,Closed,4,Thomas,Berry,9:00 AM,4:00 PM,511,25189,Loop Campus,Monday
4.22,Closed,4,Thomas,Berry,9:00 AM,4:00 PM,511,25189,Loop Campus,Tuesday
4.22,Closed,4,Thomas,Berry,9:00 AM,4:00 PM,511,25189,Loop Campus,Wednesday
4.22,Closed,4,Thomas,Berry,9:00 AM,4:00 PM,511,25189,Loop Campus,Thursday
N/A,Closed,4,Robert,Perkovich,1:00 PM,4:15 PM,512,25070,Loop Campus,Saturday
N/A,Open,4,Staff,Staff,6:00 PM,9:15 PM,801,26915,Loop Campus,Thursday
4.0,Open,4,Robert,Kallen,5:45 PM,9:00 PM,803,25203,Loop Campus,Wednesday
N/A,Open,4,Stephen,Carlton,5:45 PM,9:00 PM,803,25203,Loop Campus,Wednesday
