LSP 112 FOCAL POINT SEMINAR
"Focal Point Seminars provide first-year students with the opportunity to learn how to closely examine a single topic, such as a significant person, place, event, text, idea, or issue. Students discover the complexity of a subject by studying it from the perspectives of multiple disciplines and different fields of inquiry, and by reading and writing extensively about it. Because the class is a seminar, students also debate the topic through lively class discussions. Students select from a variety of topics. Students will receive credit for only one section of LSP 112. Courses are offered during the Winter and Spring Quarters and are intended for first-year students."
Overall Rating,Class Status,Credit Hours,Teacher First Name,Teacher Last Name,Class Start Time,Class End Time,Class Section,Class Number,Location,Days
4.8,Closed,4,Terry,Fitzpatrick,8:00 AM,9:30 AM,201,20579,Lincoln Park Campus,"Monday, Wednesday"
4.7,Closed,4,Thomas,Krainz,8:00 AM,9:30 AM,202,20539,Lincoln Park Campus,"Monday, Wednesday"
4.26,Closed,4,Brian,Niro,8:00 AM,9:30 AM,203,20540,Lincoln Park Campus,"Monday, Wednesday"
4.0,Closed,4,Kim,Amer,9:40 AM,11:10 AM,204,20541,Lincoln Park Campus,"Monday, Wednesday"
3.4,Closed,4,Christine,Reyna,9:40 AM,11:10 AM,205,20542,Lincoln Park Campus,"Monday, Wednesday"
2.3,Closed,4,Lori,Pierce,9:40 AM,11:10 AM,206,20543,Lincoln Park Campus,"Monday, Wednesday"
3.7,Closed,4,Marco,Aiello,9:40 AM,11:10 AM,207,20544,Lincoln Park Campus,"Monday, Wednesday"
4.85,Closed,4,Dennis,Meritt,11:20 AM,12:50 PM,208,20545,Lincoln Park Campus,"Monday, Wednesday"
4.3,Closed,4,Heather,Easley,9:40 AM,11:10 AM,209,20546,Lincoln Park Campus,"Tuesday, Thursday"
3.2,Closed,4,Gagik,Aroutiunian,11:20 AM,12:50 PM,210,21405,Lincoln Park Campus,"Monday, Wednesday"
3.39,Closed,4,Frida,Furman,1:00 PM,2:30 PM,211,20547,Lincoln Park Campus,"Monday, Wednesday"
2.4,Open,4,Curtis,Hansman,1:00 PM,2:30 PM,212,20548,Lincoln Park Campus,"Monday, Wednesday"
3.51,Closed,4,Christina,Rivers,1:00 PM,2:30 PM,213,20549,Lincoln Park Campus,"Monday, Wednesday"
4.2,Closed,4,David,Welch,1:00 PM,2:30 PM,214,20550,Lincoln Park Campus,"Monday, Wednesday"
4.7,Open,4,Mark,Pohlad,2:40 PM,4:10 PM,215,20551,Lincoln Park Campus,"Monday, Wednesday"
4.7,Open,4,Mark,Pohlad,6:00 PM,8:30 PM,215L,26733,Lincoln Park Campus,Tuesday
4.85,Closed,4,Dennis,Meritt,2:40 PM,4:10 PM,216,20552,Lincoln Park Campus,"Monday, Wednesday"
3.5,Closed,4,Sanjukta,Mukherjee,2:40 PM,4:10 PM,217,20553,Lincoln Park Campus,"Monday, Wednesday"
4.1,Closed,4,Michael,Naas,2:40 PM,4:10 PM,218,20554,Lincoln Park Campus,"Monday, Wednesday"
5.0,Closed,4,David,Gardiner,4:20 PM,5:50 PM,219,20555,Lincoln Park Campus,"Monday, Wednesday"
2.5,Open,4,Fassil,Demissie,4:20 PM,5:50 PM,220,21406,Lincoln Park Campus,"Monday, Wednesday"
3.18,Open,4,Mark,Elder,8:00 AM,9:30 AM,221,20582,Lincoln Park Campus,"Tuesday, Thursday"
4.0,Closed,4,Mary,Miritello,8:00 AM,9:30 AM,222,20619,Lincoln Park Campus,"Tuesday, Thursday"
4.2,Closed,4,Laura,Durnell,9:40 AM,11:10 AM,223,20556,Lincoln Park Campus,"Tuesday, Thursday"
4.5,Closed,4,Douglas,Long,9:40 AM,11:10 AM,224,20557,Lincoln Park Campus,"Tuesday, Thursday"
4.5,Closed,4,Douglas,Long,12:30 PM,3:00 PM,224L,26571,Lincoln Park Campus,Friday
5.0,Closed,4,Scott,Moringiello,9:40 AM,11:10 AM,225,20580,Lincoln Park Campus,"Tuesday, Thursday"
2.6,Closed,4,Heather,Rakes,11:20 AM,12:50 PM,226,20558,Lincoln Park Campus,"Tuesday, Thursday"
N/A,Open,4,Caterina,Mongiat Farina,11:20 AM,12:50 PM,227,20559,Lincoln Park Campus,"Tuesday, Thursday"
3.0,Closed,4,Daniel,Kamin,11:20 AM,12:50 PM,228,20581,Lincoln Park Campus,"Tuesday, Thursday"
1.9,Closed,4,Guillemette,Johnston,11:20 AM,12:50 PM,229,20560,Lincoln Park Campus,"Tuesday, Thursday"
2.51,Closed,4,Kathryn,Ibata-Arens,1:00 PM,2:30 PM,230,20561,Lincoln Park Campus,"Tuesday, Thursday"
3.9,Open,4,Anuj,Sarma,1:00 PM,2:30 PM,231,20562,Lincoln Park Campus,"Tuesday, Thursday"
2.7,Open,4,Kelly,Tzoumis,1:00 PM,2:30 PM,232,20563,Lincoln Park Campus,"Tuesday, Thursday"
3.43,Closed,4,Mary Jane,Duffy,1:00 PM,2:30 PM,233,20564,Lincoln Park Campus,"Tuesday, Thursday"
1.9,Closed,4,Guillemette,Johnston,1:00 PM,2:30 PM,234,20620,Lincoln Park Campus,"Tuesday, Thursday"
N/A,Open,4,David Akbar,Gilliam,2:40 PM,4:10 PM,235,20621,Lincoln Park Campus,"Tuesday, Thursday"
4.5,Closed,4,Carolina,Sternberg,2:40 PM,4:10 PM,236,20950,Lincoln Park Campus,"Tuesday, Thursday"
4.61,Closed,4,Philip,Meyers,4:20 PM,5:50 PM,237,21144,Lincoln Park Campus,"Tuesday, Thursday"
2.8,Open,4,Susan,Bennett,4:20 PM,5:50 PM,238,21407,Lincoln Park Campus,"Tuesday, Thursday"
3.57,Open,4,Maria,Masud,9:30 AM,12:45 PM,239,21408,Lincoln Park Campus,Friday
3.4,Open,4,Jason,Winslade,12:00 PM,3:15 PM,240,21409,Lincoln Park Campus,Friday
4.4,Open,4,Warren,Schultz,9:40 AM,11:10 AM,250,20565,Lincoln Park Campus,"Monday, Wednesday"
4.0,Open,4,Phillip,Stalley,1:00 PM,2:30 PM,251,21120,Lincoln Park Campus,"Monday, Wednesday"
3.4,Closed,4,Joseph,Phillips,10:10 AM,11:40 AM,501,20566,Loop Campus,"Monday, Wednesday"
3.5,Closed,4,David,Brenders,10:10 AM,11:40 AM,502,20567,Loop Campus,"Monday, Wednesday"
0.0,Closed,4,Heather,McShane,1:30 PM,3:00 PM,503,20951,Loop Campus,"Monday, Wednesday"
N/A,Closed,4,Benjamin,Frazer-Simser,3:10 PM,4:40 PM,504,20568,Loop Campus,"Monday, Wednesday"
3.9,Closed,4,William,Gilliland,1:00 PM,4:15 PM,505,20569,Loop Campus,Tuesday
4.6,Closed,4,Sarah,Fay,1:30 PM,4:45 PM,506,20570,Loop Campus,Wednesday
2.83,Closed,4,Robin,Burke,10:10 AM,11:40 AM,507,20571,Loop Campus,"Tuesday, Thursday"
4.82,Closed,4,John,Shanahan,10:10 AM,11:40 AM,508,20572,Loop Campus,"Tuesday, Thursday"
2.5,Open,4,Mary,Nellis,11:50 AM,1:20 PM,509,20573,Loop Campus,"Tuesday, Thursday"
4.1,Closed,4,David,Lysik,11:50 AM,1:20 PM,510,20574,Loop Campus,"Tuesday, Thursday"
4.4,Closed,4,Blair,Davis,1:30 PM,3:00 PM,511,20952,Loop Campus,"Tuesday, Thursday"
4.2,Open,4,Kerry,Ross,6:00 PM,9:15 PM,801,20575,Lincoln Park Campus,Monday
4.2,Closed,4,Elizabeth,Bryant-Richards,5:45 PM,9:00 PM,802,20576,Loop Campus,Tuesday
2.78,Open,4,David,Gitomer,6:00 PM,9:15 PM,803,20577,Lincoln Park Campus,Wednesday
4.1,Open,4,Kenneth,Butigan,6:00 PM,9:15 PM,850,26554,Lincoln Park Campus,Wednesday
