MAT 135 BUSINESS CALCULUS I
Differential calculus of one or more variables with business applications.
Overall Rating,Class Status,Credit Hours,Class Number,Teacher First Name,Teacher Last Name,Class Start Time,Class End Time,Class Section,Class Number,Location,Days
2.8,Closed,4,25485,Bijan,Zandi,10:10 AM,11:40 AM,501,25485,Loop Campus,"Monday, Wednesday"
2.3,Closed,4,25486,Serpil,Caputlu,11:50 AM,1:20 PM,502,25486,Loop Campus,"Monday, Wednesday"
N/A,Closed,4,25487,Staff,Staff,1:30 PM,3:00 PM,503,25487,Loop Campus,"Monday, Wednesday"
2.27,Open,4,25488,Joseph,Hardy,8:30 AM,10:00 AM,504,25488,Loop Campus,"Tuesday, Thursday"
2.05,Open,4,25489,Vladimir,Lepetic,10:10 AM,11:40 AM,505,25489,Loop Campus,"Tuesday, Thursday"
N/A,Closed,4,25490,Yann-Bin Marie,Ju,11:50 AM,1:20 PM,506,25490,Loop Campus,"Tuesday, Thursday"
3.4,Open,4,25491,Timothy,Doyle,1:30 PM,3:00 PM,507,25491,Loop Campus,"Tuesday, Thursday"
N/A,Open,4,25492,Charles,Groth,5:45 PM,9:00 PM,801,25492,Loop Campus,Monday
2.9,Open,4,25493,Abdallah,Shuibi,5:45 PM,9:00 PM,802,25493,Loop Campus,Tuesday
4.8,Closed,4,25494,Itir,Mogultay,5:45 PM,9:00 PM,803,25494,Loop Campus,Wednesday
