MAT 136 BUSINESS CALCULUS II
"Integral calculus, matrix algebra, and probability theory with business applications."
Overall Rating,Class Status,Credit Hours,Class Number,Teacher First Name,Teacher Last Name,Class Start Time,Class End Time,Class Section,Class Number,Location,Days
4.27,Closed,4,25495,Biju,Varghese,8:30 AM,10:00 AM,501,25495,Loop Campus,"Monday, Wednesday"
4.27,Closed,4,25496,Biju,Varghese,10:10 AM,11:40 AM,502,25496,Loop Campus,"Monday, Wednesday"
2.8,Open,4,25497,Bijan,Zandi,11:50 AM,1:20 PM,503,25497,Loop Campus,"Monday, Wednesday"
1.8,Open,4,25498,Michael,Modica,1:30 PM,3:00 PM,504,25498,Loop Campus,"Monday, Wednesday"
4.0,Closed,4,25499,Dennis,Miller,8:30 AM,10:00 AM,505,25499,Loop Campus,"Tuesday, Thursday"
4.0,Closed,4,25500,Dennis,Miller,10:10 AM,11:40 AM,506,25500,Loop Campus,"Tuesday, Thursday"
1.75,Open,4,25501,Yiou,Li,11:50 AM,1:20 PM,507,25501,Loop Campus,"Tuesday, Thursday"
2.9,Closed,4,25502,William,Chin,1:30 PM,3:00 PM,508,25502,Loop Campus,"Tuesday, Thursday"
N/A,Open,4,25503,Ivan,Ivanov,3:10 PM,4:40 PM,509,25503,Loop Campus,"Tuesday, Thursday"
N/A,Open,4,25504,Manabendra,Das,5:45 PM,9:00 PM,802,25504,Loop Campus,Monday
4.1,Closed,4,25505,George,Zazi,5:45 PM,9:00 PM,803,25505,Loop Campus,Tuesday
4.1,Closed,4,25506,George,Zazi,5:45 PM,9:00 PM,804,25506,Loop Campus,Thursday
