MKT 301 PRINCIPLES OF MARKETING
Marketing 301 introduces basic marketing terminology and the relationships between and among these terms relevant to the creation and implementation of basic marketing strategy. The course content also focuses upon the controllable and uncontrollable variables which have bearing on the success or failure of marketing programs. The course also provides students with opportunities to demonstrate their ability to connect concepts discussed in the text and those same concepts appearing in academic and practitioner publications and popular business periodicals.
RMP Overall,Class Status,Credit Hours,Teacher First Name,Teacher Last Name,Class Start Time,Class End Time,Class Section,Class Number,Location,Days
4.0,Closed,4,Robert,Galka,3:10 PM,4:40 PM,501,24711,Loop Campus,"Monday,Wednesday"
2.67,Open,4,Peter,Chadraba,5:15 PM,9:00 PM,502,25133,Loop Campus,"Monday,Tuesday,Wednesday,Thursday"
3.2,Open,4,Jun,Xu,9:30 AM,12:45 PM,503,24712,Loop Campus,Wednesday
3.2,Closed,4,Jun,Xu,1:30 PM,4:45 PM,504,24713,Loop Campus,Wednesday
4.0,Closed,4,Marina,Girju,10:10 AM,11:40 AM,505,24714,Loop Campus,"Tuesday,Thursday"
4.0,Open,4,Marina,Girju,11:50 AM,1:20 PM,506,24715,Loop Campus,"Tuesday,Thursday"
2.0,Open,4,Ilan,Geva,1:30 PM,3:00 PM,507,25134,Loop Campus,"Tuesday,Thursday"
N/A,Open,4,Geoffrey,Nyheim,5:45 PM,9:00 PM,801,25074,Loop Campus,Thursday
4.0,Open,4,Robert,Galka,5:45 PM,9:00 PM,802,24750,Loop Campus,Wednesday
3.0,Open,4,Paul,Kessenich,5:45 PM,9:00 PM,803,26801,Loop Campus,Tuesday
