MKT 310 CONSUMER BEHAVIOR
"An analysis of the environmental, social and psychological factors that influence an individual's consumer decisions.  Specific areas studies will be consumer motivation, attitudes, learning and decision processes, as well as lifestyles, reference groups, communication and cultural influences."
RMP Overall,Credit Hours,Teacher First Name,Teacher Last Name,Class Start Time,Class End Time,Class Section,Class Number,Location,Days
N/A,4,Jaime,Noriega,,,240,26856,OnLine,
N/A,4,Staff,Staff,1:00 PM,4:15 PM,502,24718,Loop Campus,Monday
N/A,4,Staff,Staff,1:00 PM,4:15 PM,503,24719,Loop Campus,Wednesday
3.3,4,Tommy,Whittler,10:10 AM,11:40 AM,504,24720,Loop Campus,"Tuesday,Thursday"
3.3,4,Tommy,Whittler,11:50 AM,1:20 PM,505,24721,Loop Campus,"Tuesday,Thursday"
4.98,4,James,Mourey,1:30 PM,3:00 PM,506,24722,Loop Campus,"Tuesday,Thursday"
N/A,4,Staff,Staff,1:30 PM,4:45 PM,507,24751,Loop Campus,Tuesday
N/A,4,Jaime,Noriega,,,540,26880,OnLine,
3.9,4,John,Hildebrand,5:45 PM,9:00 PM,801,24723,Loop Campus,Monday
N/A,4,Staff,Staff,5:45 PM,9:00 PM,802,25209,Loop Campus,Tuesday
N/A,4,Staff,Staff,5:45 PM,9:00 PM,803,24724,Loop Campus,Wednesday
