MKT 376 EFFECTIVE BUSINESS COMMUNICATION
"This course is designed to expand the participant's communication skills through the application of the principles of communication science and the psychology of persuasion in a contemporary business setting.   Students are shown how to develop successful communication and message packaging strategies useful in a variety of communication venues including:  memos, meetings, briefings, interviews and individual and team presentations.  Oral presentations and written communication techniques are explored including use of visuals, computer graphics, and layout techniques.  The mechanisms of Speech Apprehension (stage fright) are presented as well as techniques for management and reduction of this common, debilitating phenomenon.  Personal ethics and credibility are explored as important components of effective communication, both individually and as part of a team."
Overall Rating,Class Status,Credit Hours,Class Number,Teacher First Name,Teacher Last Name,Class Start Time,Class End Time,Class Section,Class Number,Location,Days
4.8,Closed,4,25173,Charles,Drehmer,1:30 PM,4:45 PM,501,25173,Loop Campus,"Monday, Tuesday, Wednesday, Thursday, Friday"
4.8,Closed,4,24735,Charles,Drehmer,9:30 AM,12:45 PM,502,24735,Loop Campus,Monday
4.8,Closed,4,24736,Charles,Drehmer,1:30 PM,4:45 PM,503,24736,Loop Campus,Monday
3.7,Open,4,25174,Leslie,Chamberlain,1:30 PM,4:45 PM,504,25174,Loop Campus,Monday
3.7,Open,4,26819,Leslie,Chamberlain,1:30 PM,4:45 PM,505,26819,Loop Campus,Wednesday
4.8,Open,4,24747,Charles,Drehmer,9:30 AM,12:45 PM,506,24747,Loop Campus,Wednesday
3.0,Open,4,26820,Paul,Kessenich,1:30 PM,4:45 PM,507,26820,Loop Campus,Tuesday
N/A,Open,4,26821,D,Whalen,1:30 PM,4:45 PM,508,26821,Loop Campus,Thursday
5.0,Open,4,26822,Nancy,Garver,9:00 AM,4:00 PM,509,26822,Loop Campus,Saturday
4.4,Open,4,24748,Anna,Pavlovic,6:00 PM,9:15 PM,802,24748,Loop Campus,Monday
N/A,Open,4,25175,Zachary,Protzman,6:00 PM,9:15 PM,803,25175,Loop Campus,Tuesday
4.7,Open,4,24755,Crystal,Fazal,6:00 PM,9:15 PM,804,24755,Loop Campus,Wednesday
N/A,Open,4,25091,Zachary,Protzman,6:00 PM,9:15 PM,805,25091,Loop Campus,Wednesday
