NSG 332 HEALTH ASSESSMENT
This course is designed to prepare the student to perform comprehensive physical assessments and mental status exams of the individual in the context of their family and community.
Overall Rating,Class Status,Credit Hours,Teacher First Name,Teacher Last Name,Class Start Time,Class End Time,Class Section,Class Number,Location,Days
N/A,Closed,4,Elizabeth,Wengel,8:00 AM,11:10 AM,1L1,25802,Lincoln Park Campus,Tuesday
N/A,Closed,4,Karen,Hampton,12:00 PM,3:10 PM,1L2,25803,Lincoln Park Campus,Tuesday
N/A,Open,4,Karen,Hampton,4:00 PM,7:10 PM,1L3,25804,Lincoln Park Campus,Tuesday
N/A,Open,4,Angela,Tosaw,8:00 AM,11:10 AM,1L4,25805,Lincoln Park Campus,Thursday
N/A,Closed,4,Elizabeth,Wengel,12:00 PM,3:10 PM,1L5,25806,Lincoln Park Campus,Thursday
5.0,Open,4,Elizabeth,Florez,9:40 AM,12:50 PM,201,25801,Lincoln Park Campus,Monday
N/A,Open,4,Marjorie,Kozlowski,8:30 AM,11:45 AM,202,25869,Rosalind Franklin University,Thursday
N/A,Open,4,Staff,Staff,4:30 PM,7:30 PM,2L1,25870,Rosalind Franklin University,Monday
N/A,Closed,4,Christine,Plett,8:30 AM,11:30 AM,2L2,25871,Rosalind Franklin University,Monday
N/A,Closed,4,Christine,Plett,1:30 PM,4:30 PM,2L3,25914,Rosalind Franklin University,Monday
