NSG 440 MATERNAL HEALTH NURSING
"The art of childbearing nursing: a didactic and clinical course as presented and discussed in class and implemented in the clinical setting. Focus is on the role of the nurse in caring for healthy newborns, and childbearing women who may be experiencing actual or potential educational needs, illness manifestations, or injury patterns. A variety of clinical settings, both inpatient and outpatient for maternity care will be utilized ."
Overall Rating,Class Status,Credit Hours,Class Number,Teacher First Name,Teacher Last Name,Class Start Time,Class End Time,Class Section,Class Number,Location,Days
N/A,Closed,6,25826,Mary,Bowman,7:00 AM,3:00 PM,1P1,25826,Off Campus,Monday
N/A,Closed,6,25827,Staff,Staff,2:00 PM,10:00 PM,1P2,25827,Off Campus,Monday
N/A,Closed,6,25828,Angelique,Muhammad,7:00 AM,3:00 PM,1P3,25828,Off Campus,Friday
N/A,Closed,6,25829,Staff,Staff,7:00 AM,3:00 PM,1P4,25829,Off Campus,Friday
N/A,Closed,6,25830,Staff,Staff,2:00 PM,10:00 PM,1P5,25830,Off Campus,Friday
N/A,Closed,6,25831,Kevin,Polhill,7:00 AM,3:00 PM,1P6,25831,Off Campus,Friday
N/A,Open,6,25832,Staff,Staff,2:00 PM,10:00 PM,1P7,25832,Off Campus,Friday
N/A,Open,6,25885,Staff,Staff,7:00 AM,3:00 PM,1P8,25885,Off Campus,Monday
3.3,Open,6,25825,Linda,Graf,11:20 AM,1:35 PM,201,25825,Lincoln Park Campus,Tuesday
N/A,Open,6,25886,Erin,Irwin,4:00 PM,6:15 PM,202,25886,Rosalind Franklin University,Thursday
N/A,Closed,6,25887,Lucy,Mueller,2:00 PM,10:00 PM,2P1,25887,Off Campus,Wednesday
N/A,Open,6,25888,Maria,Cacciatore,2:00 PM,10:00 PM,2P2,25888,Off Campus,Monday
N/A,Closed,6,25889,Staff,Staff,2:00 PM,10:00 PM,2P3,25889,Off Campus,Monday
