NSG 472 CRITICAL CARE NURSING
"This is a theory and clinical course with a focus on the roles and responsibilities of nurses caring for adults who are experiencing acute illness that may result in complex multiple system disorders. This course will emphasize the critical care concepts of oxygenation, perfusion, ischemia, pain, metabolism, and quality of life.  In this course, students will synthesize knowledge and apply advanced skills to manage high acuity and critical care clients.  An emphasis is placed on providing a strong theoretical foundation for the student to be able to apply critical thinking skills to clinical decision-making.  In the clinical area utilizing the critical thinking techniques of the nursing process, students will assess, collect data, plan,implement and evaluate the care of clients hospitalized in high acuity and critical care units."
RMP Overall,Class Status,Credit Hours,Teacher First Name,Teacher Last Name,Class Start Time,Class End Time,Class Section,Class Number,Location,Days
N/A,Closed,8,Shira,Blanton,7:00 AM,7:00 PM,1P1,25809,Off Campus,Tuesday
N/A,Closed,8,Shira,Blanton,7:00 AM,7:00 PM,1P2,25810,Off Campus,Thursday
N/A,Closed,8,Staff,Staff,7:00 AM,7:00 PM,1P3,25811,Off Campus,Tuesday
N/A,Closed,8,Staff,Staff,7:00 AM,7:00 PM,1P4,25812,Off Campus,Thursday
N/A,Open,8,Angel,Butron,7:00 AM,7:00 PM,1P5,25820,Off Campus,Tuesday
N/A,Closed,8,Angel,Butron,7:00 AM,7:00 PM,1P6,25821,Off Campus,Thursday
N/A,Closed,8,Rosalynn,Anderson,7:00 AM,7:00 PM,1P7,25902,Off Campus,Tuesday
N/A,Closed,8,Rosalynn,Anderson,7:00 AM,7:00 PM,1P8,26813,Off Campus,Thursday
N/A,Closed,8,Jacqueline,Myers,7:00 AM,7:00 PM,1P9,26814,Off Campus,Thursday
5.0,Open,8,Elizabeth,Florez,8:00 AM,12:15 PM,201,25808,Lincoln Park Campus,Wednesday
N/A,Open,8,Elizabeth,Moxley,8:30 AM,12:45 PM,202,25903,Rosalind Franklin University,Monday
N/A,Closed,8,Sandra,McDade,7:00 AM,7:00 PM,2P1,25904,Off Campus,Thursday
N/A,Closed,8,Mark,Bisbee,7:00 AM,7:00 PM,2P2,25905,Off Campus,Friday
N/A,Open,8,Sandra,Cebrij,7:00 AM,7:00 PM,2P3,25906,Off Campus,Saturday
N/A,Closed,8,Mylene,Apigo,7:00 AM,7:00 PM,2P4,26815,Off Campus,Friday
