"PAX 250 TOPICS ON PEACE, JUSTICE, AND CONFLICT STUDIES"
"A workshop covering practical instruction in mediation, conflict resolution, and nonviolent methods for promoting social change."
RMP Overall,Class Status,Credit Hours,Teacher First Name,Teacher Last Name,Class Start Time,Class End Time,Class Section,Class Number,Location,Days
4.1,Open,2,Kenneth,Butigan,1:00 PM,5:00 PM,201,26243,Lincoln Park Campus,Friday
4.1,Open,2,Kenneth,Butigan,7:00 PM,9:00 PM,201,26243,Lincoln Park Campus,Thursday
4.1,Open,2,Kenneth,Butigan,1:00 PM,6:00 PM,201,26243,Lincoln Park Campus,Friday
4.1,Open,2,Kenneth,Butigan,1:00 PM,5:00 PM,201,26243,Lincoln Park Campus,Saturday
N/A,Open,2,Harriet,McCullough,6:00 PM,9:15 PM,801,20636,Lincoln Park Campus,Tuesday
N/A,Open,2,Jane,Nicholson,6:00 PM,9:15 PM,802,20945,Lincoln Park Campus,Wednesday
N/A,Open,2,Eduardo,Pineda,6:00 PM,9:15 PM,803,20637,Lincoln Park Campus,Wednesday
3.0,Open,2,Craig,Mousin,1:00 PM,6:00 PM,804,20638,Lincoln Park Campus,"Saturday,Sunday"
3.0,Open,2,Craig,Mousin,1:00 PM,6:00 PM,804,20638,Lincoln Park Campus,Saturday
N/A,Open,2,Joyana,Dvorak,,,806,20639,Lincoln Park Campus,
