PHL 100 INTRODUCTION TO PHILOSOPHY
"An introduction to basic philosophical concepts, methods, and problems."
Overall Rating,Class Status,Credit Hours,Class Number,Teacher First Name,Teacher Last Name,Class Start Time,Class End Time,Class Section,Class Number,Location,Days
N/A,Open,4,20641,Amelia,Hruby,11:20 AM,12:50 PM,201,20641,Lincoln Park Campus,"Monday, Wednesday"
N/A,Open,4,20642,Bilgesu,Sisman,1:00 PM,2:30 PM,202,20642,Lincoln Park Campus,"Monday, Wednesday"
N/A,Open,4,20644,Justin,Boyd,4:20 PM,5:50 PM,204,20644,Lincoln Park Campus,"Monday, Wednesday"
N/A,Open,4,20645,Ashley,Fleshman,9:40 AM,11:10 AM,205,20645,Lincoln Park Campus,"Tuesday, Thursday"
4.0,Closed,4,20887,Evan,Edwards,11:20 AM,12:50 PM,206,20887,Lincoln Park Campus,"Tuesday, Thursday"
4.6,Closed,4,20646,Maria De La Cruz,Salvador Lopez,2:40 PM,4:10 PM,207,20646,Lincoln Park Campus,"Tuesday, Thursday"
N/A,Open,4,20647,Miguel,Gualdron Ramirez,1:30 PM,3:00 PM,501,20647,Loop Campus,"Monday, Wednesday"
N/A,Open,4,26255,Miguel,Gualdron Ramirez,3:10 PM,4:40 PM,502,26255,Loop Campus,"Monday, Wednesday"
N/A,Open,4,21081,Jessica,Jessen,10:10 AM,11:40 AM,503,21081,Loop Campus,"Tuesday, Thursday"
N/A,Closed,4,20648,Robert,Vallier,,,801,20648,OnLine,
