SW 236 ADVANCED INTERNET
"This course will extend the introductory concepts of CIS 120 and CIS 158 by exposing the students to a variety of office suites, web apps, internet, and networking concepts for business solutions. Topics include analysis and design of office suites, web projects for a business solutions, network fundamentals, including Wi-Fi, and internet security. This course is designed for students who want to move their basic computer skills up to the next level.  It addresses more advanced concepts of computer literacy. Students in this course will take their Internet skills to new levels, how to optimism web researches and navigate the flood of information. Students will learn how to enhance effectiveness of, apply the techniques to safeguard against viruses and SPAM and keep computers free from unwanted visitors.  Students will find helpful information on the most talked about newcomers to the online world such as social networking sites like Facebook and MySpace, blogging, and downloading media content from YouTube and iTunes, as well as an introduction to the personal email and instruction for safe surfing."
RMP Overall,Class Status,Credit Hours,Teacher First Name,Teacher Last Name,Class Start Time,Class End Time,Class Section,Class Number,Location,Days
4.54,Open,2,Zaya,Khananu,9:00 AM,3:00 PM,801,26696,Loop Campus,Saturday
N/A,Open,2,Staff,Staff,9:00 AM,3:00 PM,801,26696,Loop Campus,Saturday
N/A,Open,2,Staff,Staff,9:00 AM,4:00 PM,801,26696,Loop Campus,Saturday
N/A,Open,2,Staff,Staff,9:00 AM,4:00 PM,801,26696,Loop Campus,Saturday
4.54,Open,2,Zaya,Khananu,9:00 AM,3:00 PM,802,26697,Loop Campus,Saturday
N/A,Open,2,Staff,Staff,9:00 AM,3:00 PM,802,26697,Loop Campus,Saturday
N/A,Open,2,Staff,Staff,9:00 AM,4:00 PM,802,26697,Loop Campus,Saturday
N/A,Open,2,Staff,Staff,9:00 AM,4:00 PM,802,26697,Loop Campus,Saturday
4.54,Open,2,Zaya,Khananu,9:00 AM,3:00 PM,803,26698,Loop Campus,Saturday
N/A,Open,2,Staff,Staff,9:00 AM,3:00 PM,803,26698,Loop Campus,Saturday
N/A,Open,2,Staff,Staff,9:00 AM,4:00 PM,803,26698,Loop Campus,Saturday
N/A,Open,2,Staff,Staff,9:00 AM,4:00 PM,803,26698,Loop Campus,Saturday
4.54,Open,2,Zaya,Khananu,9:00 AM,3:00 PM,804,26699,Loop Campus,Saturday
N/A,Open,2,Staff,Staff,9:00 AM,3:00 PM,804,26699,Loop Campus,Saturday
N/A,Open,2,Staff,Staff,9:00 AM,4:00 PM,804,26699,Loop Campus,Saturday
N/A,Open,2,Staff,Staff,9:00 AM,4:00 PM,804,26699,Loop Campus,Saturday
4.54,Open,2,Zaya,Khananu,9:00 AM,3:00 PM,805,26700,Loop Campus,Saturday
N/A,Open,2,Staff,Staff,9:00 AM,3:00 PM,805,26700,Loop Campus,Saturday
N/A,Open,2,Staff,Staff,9:00 AM,4:00 PM,805,26700,Loop Campus,Saturday
N/A,Open,2,Staff,Staff,9:00 AM,4:00 PM,805,26700,Loop Campus,Saturday
