WRD 103 COMPOSITION AND RHETORIC I
"An introduction to the forms, expectations, and conventions of writing at the college level. Emphasis on audience analysis, rhetorical stance, and the nature of the composing process."
RMP Overall,Class Status,Credit Hours,Teacher First Name,Teacher Last Name,Class Start Time,Class End Time,Class Section,Class Number,Location,Days
4.8,Closed,4,Eric,Plattner,8:00 AM,9:30 AM,201,20031,Lincoln Park Campus,"Monday,Wednesday"
4.3,Open,4,Nancy,LaFever,8:00 AM,9:30 AM,202,20223,Lincoln Park Campus,"Monday,Wednesday"
4.3,Closed,4,Nancy,LaFever,9:40 AM,11:10 AM,203,20032,Lincoln Park Campus,"Monday,Wednesday"
4.5,Closed,4,Darren,Trongeau,9:40 AM,11:10 AM,204,20033,Lincoln Park Campus,"Monday,Wednesday"
3.4,Open,4,Jason,Winslade,11:20 AM,12:50 PM,205,20034,Lincoln Park Campus,"Monday,Wednesday"
3.97,Open,4,Alex,Naylor,11:20 AM,12:50 PM,206,20035,Lincoln Park Campus,"Monday,Wednesday"
4.5,Closed,4,Darren,Trongeau,1:00 PM,2:30 PM,207,20036,Lincoln Park Campus,"Monday,Wednesday"
3.88,Open,4,Deborah,Weiner,1:00 PM,2:30 PM,208,20037,Lincoln Park Campus,"Monday,Wednesday"
3.88,Closed,4,Deborah,Weiner,2:40 PM,4:10 PM,209,20235,Lincoln Park Campus,"Monday,Wednesday"
3.97,Open,4,Alex,Naylor,2:40 PM,4:10 PM,210,20038,Lincoln Park Campus,"Monday,Wednesday"
N/A,Open,4,Hannah,Lee,4:20 PM,5:50 PM,211,20039,Lincoln Park Campus,"Monday,Wednesday"
N/A,Open,4,Valya,Lupescu,8:00 AM,9:30 AM,212,20040,Lincoln Park Campus,"Tuesday,Thursday"
N/A,Open,4,Jason,Nemec,8:00 AM,9:30 AM,213,26358,Lincoln Park Campus,"Tuesday,Thursday"
4.7,Closed,4,Justin,Staley,9:40 AM,11:10 AM,214,20041,Lincoln Park Campus,"Tuesday,Thursday"
4.83,Closed,4,Michael,Moore,9:40 AM,11:10 AM,215,20226,Lincoln Park Campus,"Tuesday,Thursday"
4.3,Closed,4,Barbara,Tilley,11:20 AM,12:50 PM,216,20042,Lincoln Park Campus,"Tuesday,Thursday"
4.83,Closed,4,Michael,Moore,1:00 PM,2:30 PM,217,20043,Lincoln Park Campus,"Tuesday,Thursday"
4.3,Closed,4,Barbara,Tilley,2:40 PM,4:10 PM,218,20044,Lincoln Park Campus,"Tuesday,Thursday"
N/A,Open,4,Nathaniel,Street,2:40 PM,4:10 PM,219,20045,Lincoln Park Campus,"Tuesday,Thursday"
4.7,Open,4,Justin,Staley,11:20 AM,12:50 PM,220,20232,Lincoln Park Campus,"Tuesday,Thursday"
N/A,Open,4,Nathaniel,Street,4:20 PM,5:50 PM,221,26368,Lincoln Park Campus,"Tuesday,Thursday"
0.0,Open,4,Heather,McShane,9:40 AM,11:10 AM,222,20046,Lincoln Park Campus,"Monday,Wednesday"
5.0,Open,4,Stephen,Swain,8:30 AM,10:00 AM,501,20238,Loop Campus,"Monday,Wednesday"
5.0,Open,4,Stephen,Swain,10:10 AM,11:40 AM,502,20241,Loop Campus,"Monday,Wednesday"
N/A,Open,4,Benjamin,Lobpries,11:50 AM,1:20 PM,503,20244,Loop Campus,"Monday,Wednesday"
N/A,Open,4,Benjamin,Lobpries,1:30 PM,3:00 PM,504,26369,Loop Campus,"Monday,Wednesday"
N/A,Open,4,Kassia,Shaw,3:10 PM,4:40 PM,505,20047,Loop Campus,"Tuesday,Thursday"
N/A,Open,4,Paula,Hagen,10:10 AM,11:40 AM,506,20220,Loop Campus,"Tuesday,Thursday"
N/A,Open,4,Paula,Hagen,1:30 PM,3:00 PM,507,26370,Loop Campus,"Tuesday,Thursday"
N/A,Open,4,Bridget,Wagner,6:00 PM,9:15 PM,801,26371,Lincoln Park Campus,Wednesday
3.8,Open,4,Kristine,Martin,5:45 PM,9:00 PM,802,26372,Loop Campus,Tuesday
3.8,Open,4,Rachel,Salsedo,5:45 PM,9:00 PM,803,20229,Loop Campus,Wednesday
3.0,Open,4,Peter,Vandenberg,6:00 PM,9:15 PM,804,20247,Lincoln Park Campus,Thursday
