WRD 104 COMPOSITION AND RHETORIC II
Developing a convincing argument with information and evidence drawn from a variety of sources. Emphasis on effective research strategies and professional use of sources.
RMP Overall,Class Status,Credit Hours,Teacher First Name,Teacher Last Name,Class Start Time,Class End Time,Class Section,Class Number,Location,Days
4.5,Closed,4,Edward,Evins,8:00 AM,9:30 AM,201,20048,Lincoln Park Campus,"Monday,Wednesday"
N/A,Closed,4,Staff,Staff,9:40 AM,11:10 AM,202,20049,Lincoln Park Campus,"Monday,Wednesday"
4.5,Closed,4,Edward,Evins,9:40 AM,11:10 AM,203,20070,Lincoln Park Campus,"Monday,Wednesday"
4.8,Closed,4,Joyce,Bean,11:20 AM,12:50 PM,204,20073,Lincoln Park Campus,"Monday,Wednesday"
4.76,Closed,4,Blair,Banwart,8:00 AM,9:30 AM,205,20076,Lincoln Park Campus,"Tuesday,Thursday"
4.7,Closed,4,Dana,Dunham,1:00 PM,2:30 PM,206,20079,Lincoln Park Campus,"Monday,Wednesday"
N/A,Closed,4,Coray,Ames Hoffner,1:00 PM,2:30 PM,207,20082,Lincoln Park Campus,"Monday,Wednesday"
3.8,Closed,4,Sarah,Read,2:40 PM,4:10 PM,208,20085,Lincoln Park Campus,"Tuesday,Thursday"
4.3,Closed,4,Michael,Raleigh,2:40 PM,4:10 PM,209,20088,Lincoln Park Campus,"Monday,Wednesday"
4.2,Closed,4,Laura,Durnell,1:00 PM,2:30 PM,210,20091,Lincoln Park Campus,"Tuesday,Thursday"
N/A,Closed,4,Coray,Ames Hoffner,4:20 PM,5:50 PM,211,20094,Lincoln Park Campus,"Monday,Wednesday"
4.5,Closed,4,Daniela,Olszewska,4:20 PM,5:50 PM,212,20097,Lincoln Park Campus,"Monday,Wednesday"
4.5,Open,4,Daniela,Olszewska,12:00 PM,3:15 PM,213,20100,Lincoln Park Campus,Friday
N/A,Closed,4,Staff,Staff,2:40 PM,4:10 PM,214,20103,Lincoln Park Campus,"Tuesday,Thursday"
4.0,Closed,4,Kevin,Lyon,8:00 AM,9:30 AM,215,20106,Lincoln Park Campus,"Tuesday,Thursday"
3.3,Open,4,Star,Hall,8:00 AM,9:30 AM,216,20109,Lincoln Park Campus,"Tuesday,Thursday"
N/A,Closed,4,Staff,Staff,11:20 AM,12:50 PM,217,20112,Lincoln Park Campus,"Tuesday,Thursday"
4.76,Closed,4,Blair,Banwart,9:40 AM,11:10 AM,218,20115,Lincoln Park Campus,"Tuesday,Thursday"
N/A,Closed,4,Kristin,Rozzell,9:40 AM,11:10 AM,219,20118,Lincoln Park Campus,"Monday,Wednesday"
3.0,Open,4,Amanda,Gaddam,1:00 PM,2:30 PM,220,20121,Lincoln Park Campus,"Monday,Wednesday"
2.3,Closed,4,Allan,Johnston,1:00 PM,2:30 PM,221,20124,Lincoln Park Campus,"Tuesday,Thursday"
2.3,Open,4,Allan,Johnston,2:40 PM,4:10 PM,222,20127,Lincoln Park Campus,"Tuesday,Thursday"
4.3,Closed,4,Barbara,Tilley,4:20 PM,5:50 PM,223,20130,Lincoln Park Campus,"Tuesday,Thursday"
N/A,Open,4,Kristin,Rozzell,8:00 AM,9:30 AM,224,20133,Lincoln Park Campus,"Monday,Wednesday"
4.5,Closed,4,Jennifer,Finstrom,1:00 PM,2:30 PM,225,20136,Lincoln Park Campus,"Tuesday,Thursday"
3.5,Closed,4,Scott,Markwell,11:20 AM,12:50 PM,226,20139,Lincoln Park Campus,"Monday,Wednesday"
3.3,Closed,4,Hector,Carbajal,11:20 AM,12:50 PM,227,20142,Lincoln Park Campus,"Monday,Wednesday"
3.5,Closed,4,Scott,Markwell,1:00 PM,2:30 PM,228,20145,Lincoln Park Campus,"Monday,Wednesday"
