WRD 202 PROFESSIONAL WRITING FOR BUSINESS
"Effective organization and design of documents common in business life - letters, memos, reports, and resumes. Attention to audience, purpose, and style. Two quarter hours credit."
Overall Rating,Class Status,Credit Hours,Class Number,Teacher First Name,Teacher Last Name,Class Start Time,Class End Time,Class Section,Class Number,Location,Days
2.19,Closed,2,20265,Lauren,Hahn,11:50 AM,1:20 PM,501,20265,Loop Campus,"Monday, Wednesday"
2.19,Open,2,20266,Lauren,Hahn,11:50 AM,1:20 PM,502,20266,Loop Campus,"Monday, Wednesday"
4.0,Closed,2,20267,Tricia,Hermes,1:30 PM,3:00 PM,503,20267,Loop Campus,"Monday, Wednesday"
4.0,Closed,2,20268,Tricia,Hermes,1:30 PM,3:00 PM,504,20268,Loop Campus,"Monday, Wednesday"
1.5,Closed,2,20269,Carolyn,Leeb,3:10 PM,4:40 PM,505,20269,Loop Campus,"Monday, Wednesday"
1.5,Open,2,20270,Carolyn,Leeb,3:10 PM,4:40 PM,506,20270,Loop Campus,"Monday, Wednesday"
2.8,Closed,2,20271,David,Kossy,11:50 AM,1:20 PM,507,20271,Loop Campus,"Tuesday, Thursday"
2.8,Closed,2,20272,David,Kossy,11:50 AM,1:20 PM,508,20272,Loop Campus,"Tuesday, Thursday"
2.8,Closed,2,20273,David,Kossy,1:30 PM,3:00 PM,509,20273,Loop Campus,"Tuesday, Thursday"
2.8,Open,2,20274,David,Kossy,1:30 PM,3:00 PM,510,20274,Loop Campus,"Tuesday, Thursday"
2.5,Open,2,20275,Mary,Nellis,1:30 PM,3:00 PM,511,20275,Loop Campus,"Tuesday, Thursday"
2.5,Open,2,20276,Mary,Nellis,1:30 PM,3:00 PM,512,20276,Loop Campus,"Tuesday, Thursday"
N/A,Closed,2,20278,Victoria,Van Kirk,5:45 PM,9:00 PM,801,20278,Loop Campus,Monday
N/A,Closed,2,20279,Victoria,Van Kirk,5:45 PM,9:00 PM,802,20279,Loop Campus,Monday
4.7,Closed,2,20280,Amy,Hornat-Kaval,,,803,20280,OnLine,
4.7,Closed,2,20281,Amy,Hornat-Kaval,,,804,20281,OnLine,
4.7,Closed,2,20282,Amy,Hornat-Kaval,,,805,20282,OnLine,
4.7,Closed,2,20283,Amy,Hornat-Kaval,,,806,20283,OnLine,
4.0,Closed,2,20287,Tricia,Hermes,,,807,20287,OnLine,
4.0,Closed,2,20288,Tricia,Hermes,,,808,20288,OnLine,
4.5,Closed,2,26398,Michael,Hernandez,,,809,26398,OnLine,
4.5,Closed,2,26399,Michael,Hernandez,,,810,26399,OnLine,
4.0,Closed,2,20286,Tricia,Hermes,,,813,20286,OnLine,
4.0,Closed,2,20277,Tricia,Hermes,,,814,20277,OnLine,
2.19,Closed,2,27012,Lauren,Hahn,,,815,27012,OnLine,
