univerity_id,total_number_of_ratings_i,averageeasyscore_rf,pk_id,averageratingscore_rf,teacherfirstname_t,averagehelpfulscore_rf,averageclarityscore_rf,teacherlastname_t,teacher_profile
1389,180,1.99,8079,1.49,Lawrence,1.51,1.47,Gluck,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=8079
1389,175,2.4,263598,3.8,Mark,3.5,4.0,McCarthy,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=263598
1389,151,3.0,1598592,4.5,Mark,4.7,4.3,Light,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=1598592
1389,138,1.75,283483,2.66,Randall,2.58,2.75,Fisher,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=283483
1389,137,3.4,211149,4.8,Joyce,4.8,4.7,Bean,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=211149
1389,136,1.8,1110341,2.1,Deena,2.0,2.3,Weinstein,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=1110341
1389,127,1.83,172963,2.85,John,2.61,3.09,Houston,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=172963
1389,121,2.81,155056,3.83,Norman,3.72,3.93,Finkelstein,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=155056
1389,120,2.4,213643,3.3,Tommy,3.3,3.3,Whittler,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=213643
1389,116,2.23,54700,2.72,James,2.83,2.61,Ciecka,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=54700
1389,116,3.3,613164,3.87,Mary,3.87,3.86,Vermillion,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=613164
1389,114,2.49,272543,2.57,Rochelle,2.48,2.65,Plager,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=272543
1389,114,3.6,260336,4.1,George,4.1,4.1,Zazi,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=260336
1389,113,4.03,142748,4.5,Samuel,4.5,4.5,Manella,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=142748
1389,112,3.3,472766,4.8,Horace,4.8,4.8,Hall,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=472766
1389,111,3.5,360771,4.2,Tyler,4.3,4.1,Kahdeman,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=360771
1389,109,3.3,332135,4.8,Eric,4.9,4.7,Plattner,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=332135
1389,108,2.75,166284,4.13,Catherine,4.16,4.1,May,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=166284
1389,108,1.94,210781,2.8,Elizabeth,2.76,2.84,Murphy,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=210781
1389,106,3.33,9229,2.39,Fred,2.38,2.41,Heilizer,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=9229
1389,106,3.28,269125,4.29,James,4.09,4.49,Staruck,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=269125
1389,104,3.6,205182,3.5,Noel,3.5,3.6,Barker,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=205182
1389,102,3.3,7971,4.2,Susan,4.3,4.1,Lueders,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=7971
1389,101,2.7,82481,4.0,Hugh,4.1,3.9,Ingrasci,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=82481
1389,100,1.7,216577,2.1,Angelika,2.3,2.0,Cedzich,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=216577
1389,100,3.5,301677,4.1,David,4.0,4.2,Lysik,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=301677
1389,99,2.16,9230,2.65,William,2.35,2.95,Sampson,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=9230
1389,99,2.9,292504,2.9,Abdallah,3.0,2.8,Shuibi,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=292504
1389,98,3.8,271248,4.3,Tim,4.1,4.5,Cole,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=271248
